name,brand_name,manufacturer,supplier_name,active_ingredient,category,form,strength,unit,route,indication,contraindications,side_effects,drug_interactions,storage_conditions,handling_precautions,controlled_substance,prescription_required,stock,purchase_price,price,reorder_level,reorder_quantity,expiry_date,batch_number,storage_location,status
Artemether/Lumefantrine,Coartem,Novartis,Ethiopian Pharmaceuticals Supply Agency (EPSA),Artemether 20mg + Lumefantrine 120mg,Antimalarial,Tablet,20/120mg,tablet,Oral,Uncomplicated P. falciparum malaria,Severe malaria; first trimester pregnancy,Headache; dizziness; loss of appetite,Avoid with QT-prolonging drugs,Below 30C; protect from moisture,Take with food/fatty meal for absorption,false,true,420,18.50,32.00 ETB,50,200,2026-11-30,AL2611-A,Ward A Pharmacy,Active
Amoxicillin,Amoxil,Cadila Pharmaceuticals Ethiopia,Cadila Pharmaceuticals Ethiopia,Amoxicillin Trihydrate,Antibiotic,Capsule,500mg,capsule,Oral,Bacterial infections (respiratory; UTI; skin),Penicillin hypersensitivity,Diarrhea; rash; nausea,Reduces oral contraceptive efficacy,Below 25C; dry place,Check penicillin allergy before dispensing,false,true,860,3.20,6.50 ETB,100,500,2026-09-15,AMX0926-B,Main Pharmacy Shelf A2,Active
Ciprofloxacin,Cipro,Addis Pharmaceuticals Factory,Addis Pharmaceuticals Factory,Ciprofloxacin HCl,Antibiotic,Tablet,500mg,tablet,Oral,UTI; respiratory and GI infections,Pregnancy; under 18 years; tendon disorders,Nausea; tendon pain; photosensitivity,Avoid antacids; theophylline interaction,Below 25C; protect from light,Avoid sun exposure; complete full course,false,true,540,4.80,9.00 ETB,80,300,2026-08-20,CPX0826-C,Main Pharmacy Shelf A3,Active
Metronidazole,Flagyl,Cadila Pharmaceuticals Ethiopia,Cadila Pharmaceuticals Ethiopia,Metronidazole,Antibiotic,Tablet,500mg,tablet,Oral,Anaerobic infections; amoebiasis; giardiasis,First trimester pregnancy; alcohol use,Metallic taste; nausea; dark urine,Disulfiram-like reaction with alcohol,Below 25C; dry,No alcohol during and 48h after treatment,false,true,720,2.10,4.50 ETB,100,400,2027-01-10,MTZ0127-A,Main Pharmacy Shelf A4,Active
Paracetamol,Panadol,Addis Pharmaceuticals Factory,Ethiopian Pharmaceuticals Supply Agency (EPSA),Acetaminophen,Analgesic,Tablet,500mg,tablet,Oral,Mild to moderate pain; fever,Severe liver disease; alcoholism,Hepatotoxicity in overdose; rare rash,Warfarin (high dose chronic use),Below 30C; dry,Max 4g/day; counsel on overdose risk,false,false,1200,1.20,2.50 ETB,200,800,2027-03-15,PCM0327-A,Main Pharmacy OTC,Active
Ibuprofen,Brufen,Cadila Pharmaceuticals Ethiopia,Cadila Pharmaceuticals Ethiopia,Ibuprofen,Analgesic,Tablet,400mg,tablet,Oral,Pain; inflammation; fever,Peptic ulcer; severe heart failure; 3rd trimester pregnancy,GI upset; renal impairment; bleeding,Increases warfarin/lithium levels,Below 25C; dry,Take with food to reduce GI upset,false,false,640,2.80,5.00 ETB,100,400,2026-12-05,IBU1226-A,Main Pharmacy OTC,Active
Diclofenac,Voltaren,Julphar Pharmaceuticals PLC,Julphar Pharmaceuticals PLC,Diclofenac Sodium,Analgesic,Tablet,50mg,tablet,Oral,Inflammatory pain; arthritis; dysmenorrhea,Active peptic ulcer; CV disease; renal failure,Dyspepsia; hypertension; edema,Increases bleeding with anticoagulants,Below 25C; protect from moisture,Take with food; monitor BP and renal function,false,true,380,3.50,6.00 ETB,80,300,2026-10-25,DCF1026-A,Main Pharmacy Shelf B1,Active
Omeprazole,Losec,Addis Pharmaceuticals Factory,Addis Pharmaceuticals Factory,Omeprazole,Gastrointestinal,Capsule,20mg,capsule,Oral,GERD; peptic ulcer; H. pylori eradication,Hypersensitivity to PPI,Headache; diarrhea; B12 deficiency long-term,Reduces clopidogrel; affects warfarin,Below 25C; protect from moisture,Take 30min before breakfast on empty stomach,false,true,520,4.20,8.00 ETB,80,300,2026-11-12,OMP1126-A,Main Pharmacy Shelf B2,Active
Metformin,Glucophage,Julphar Pharmaceuticals PLC,Julphar Pharmaceuticals PLC,Metformin HCl,Antidiabetic,Tablet,500mg,tablet,Oral,Type 2 diabetes mellitus,eGFR <30; acute heart failure; metabolic acidosis,GI upset; lactic acidosis (rare); B12 deficiency,Iodinated contrast; alcohol,Below 25C; dry,Take with meals; hold 48h around contrast studies,false,true,780,3.10,6.00 ETB,120,500,2027-02-28,MET0227-A,Diabetes Care Shelf,Active
Glibenclamide,Daonil,Addis Pharmaceuticals Factory,Ethiopian Pharmaceuticals Supply Agency (EPSA),Glibenclamide,Antidiabetic,Tablet,5mg,tablet,Oral,Type 2 diabetes mellitus,Type 1 DM; severe renal/hepatic impairment,Hypoglycemia; weight gain,Beta-blockers mask hypoglycemia,Below 25C; dry,Take 30min before breakfast; counsel hypo signs,false,true,460,2.40,4.50 ETB,80,300,2026-09-30,GLI0926-A,Diabetes Care Shelf,Active
Amlodipine,Norvasc,Cadila Pharmaceuticals Ethiopia,Cadila Pharmaceuticals Ethiopia,Amlodipine Besylate,Antihypertensive,Tablet,5mg,tablet,Oral,Hypertension; angina,Severe aortic stenosis; cardiogenic shock,Peripheral edema; headache; flushing,Simvastatin (limit dose); grapefruit juice,Below 25C; dry,Once daily; can be taken any time,false,true,640,3.80,7.00 ETB,100,400,2027-04-18,AML0427-A,Cardiology Shelf,Active
Enalapril,Renitec,Addis Pharmaceuticals Factory,Addis Pharmaceuticals Factory,Enalapril Maleate,Antihypertensive,Tablet,10mg,tablet,Oral,Hypertension; heart failure,Pregnancy; bilateral renal artery stenosis; angioedema history,Dry cough; hyperkalemia; angioedema,Potassium sparing diuretics; NSAIDs,Below 25C; dry,Monitor renal function; potassium and BP,false,true,580,2.90,5.50 ETB,100,400,2026-10-08,ENA1026-A,Cardiology Shelf,Active
Atenolol,Tenormin,Julphar Pharmaceuticals PLC,Julphar Pharmaceuticals PLC,Atenolol,Antihypertensive,Tablet,50mg,tablet,Oral,Hypertension; angina; arrhythmia,Severe bradycardia; AV block; asthma,Bradycardia; fatigue; cold extremities,Verapamil (heart block); insulin masking,Below 25C; dry,Do not stop abruptly; monitor HR,false,true,520,2.50,4.80 ETB,90,350,2026-12-22,ATN1226-A,Cardiology Shelf,Active
